,symbol,sector,RSI,ROC,ADOSC,ATR,EMA,start_date,end_date
43159,EIX,Utilities,50.2872592091923,0.2694136291600646,1063156.8393435013,1.0148968253968251,62.401562499999976,2018-04-01,2018-07-01
43641,ETR,Utilities,52.22900046926326,2.4084167828622105,2230799.5960105793,1.2757190476190479,79.15843749999999,2018-04-01,2018-07-01
44123,ES,Utilities,49.88986784140969,-0.10226691665247145,-657376.7838778859,0.9004396825396823,57.55921874999999,2018-04-01,2018-07-01
44605,EXC,Utilities,61.84497816593887,11.343439623627827,7847829.061328681,0.636438095238096,40.14,2018-04-01,2018-07-01
45087,FE,Utilities,56.67752442996742,6.0543414057885325,3546711.85591201,0.5723396825396821,34.25421875,2018-04-01,2018-07-01
45569,NEE,Utilities,53.160607704829076,2.869988298330961,1140337.0807907819,2.3139555555555535,161.5278125,2018-04-01,2018-07-01
46051,NI,Utilities,59.338970023059176,10.188679245283016,1217383.8126545977,0.41719841269841274,24.512031249999993,2018-04-01,2018-07-01
46533,NRG,Utilities,50.78740157480315,1.1865524060646004,-3150126.037292095,0.7413333333333332,32.32843750000001,2018-04-01,2018-07-01
47015,PCG,Utilities,48.781259892371004,-1.7770597738287486,-1779586.398683547,1.0736142857142856,43.354843749999986,2018-04-01,2018-07-01
47497,AMG,Financials,35.65492321589885,-17.602394280330337,-534309.1078012567,3.643720634920635,164.81874999999997,2018-04-01,2018-07-01
47979,AFL,Financials,50.15124016938901,0.11636025133814343,-300222.4315246043,0.5998539682539683,44.91906249999997,2018-04-01,2018-07-01
48461,ALL,Financials,46.76086376966141,-2.593383137673433,93630.42346002365,1.4948015873015865,95.0484375,2018-04-01,2018-07-01
48943,AXP,Financials,56.243310738494465,7.692307692307687,707656.4392741006,1.8244317460317452,98.26468750000001,2018-04-01,2018-07-01
49425,AIG,Financials,49.82130092923518,-0.18825301204817846,15792990.62547025,0.9717634920634926,54.1228125,2018-04-01,2018-07-01
49907,AMP,Financials,48.56022293322325,-1.9555617859395746,-1607525.1914542597,3.2416111111111077,141.73781249999996,2018-04-01,2018-07-01
50389,AON,Financials,49.14285714285713,-0.738114190607142,-513707.4857066057,2.1014269841269857,140.87984375,2018-04-01,2018-07-01
50871,AJG,Financials,46.976744186046524,-2.712369597615494,681476.3035642677,1.0300222222222224,67.7190625,2018-04-01,2018-07-01
51353,AIZ,Financials,61.642585551330775,17.362213653889746,1405253.4655580549,2.143795238095238,94.05859374999997,2018-04-01,2018-07-01
51835,BAC,Financials,47.06190975865688,-3.8212214261344135,-26344606.026036337,0.6122428571428573,29.835000000000004,2018-04-01,2018-07-01
52317,BBT,Financials,49.20583468395461,-0.9621048497938434,-924168.2460659994,1.026431746031746,53.1259375,2018-04-01,2018-07-01
